FeatureId	Sample02	Sample04	Sample06	Sample08	Sample10	Sample12	Sample14	Sample16	Sample18	Sample20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Group	Treat	Treat	Treat	Treat	Treat	Treat	Treat	Treat	Treat	Treat	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl
f0896	0.0466	-0.1459	-1.1399	-0.8065	1.1918	-0.3068	1.6312	0.0786	1.6801	0.4361	-1.4518	-2.249	0.5472	0.4703	-2.6613	-0.1011	0.3208	-2.1607	-1.1393	-0.2102
f0265	0.9923	-0.1365	-0.3864	0.2832	-0.9389	1.122	-0.4212	1.1268	-0.0873	1.507	0.5947	-0.5606	0.7477	-0.6381	-0.1499	1.5193	2.7556	0.7289	0.0833	0.5036
f0371	-0.9056	-0.2081	-1.946	0.6587	2.0671	-1.3162	-0.6977	2.8467	-1.5534	0.2798	-1.3637	0.3292	-2.4923	0.2823	-0.2986	0.7638	0.3561	-0.664	0.4342	0.7991
f0571	-1.7966	0.0219	-0.1149	-0.4128	-0.3435	0.1736	0.6543	0.4797	-1.2036	-1.8982	0.3209	-1.8034	0.126	0.918	-0.1327	-0.8096	-0.7594	-1.1731	-1.5506	0.496
f0904	0.1197	-1.9238	-2.1828	1.0507	-0.9297	-0.327	0.1584	2.0445	-1.3408	0.2828	-0.5751	-0.5325	0.0847	0.4209	1.7801	-1.0117	1.3344	0.8001	1.0262	-1.511
f0200	-0.7114	0.0502	-0.4326	-0.2844	0.4694	0.821	0.5822	0.4314	0.5437	-0.3824	0.7231	-0.7028	-1.4947	1.0808	-0.7142	0.7176	-1.3531	1.3643	0.8488	-0.1686
f0892	1.6254	-0.0021	0.3184	0.3756	1.634	1.5991	-0.5414	-0.3674	0.8061	0.2663	-1.3181	1.5427	0.8799	1.2025	1.0941	-1.0036	-1.2245	1.079	-1.114	-0.0404
f0938	-2.011	-2.7908	-1.3502	-3.6838	-3.2067	-1.1327	-1.6954	-2.0996	-1.9463	-3.5179	1.168	0.7895	1.8293	0.9743	-0.635	-2.3077	0.3917	0.5185	-1.7387	0.9038
f0655	-0.1863	-0.8273	-1.0491	0.3752	0.0023	-0.7239	-0.5922	-0.5645	1.8937	-2.3442	-0.0302	0.2533	-0.339	-0.0385	-1.1925	-0.047	-1.2339	0.6396	0.2509	-0.614
f0623	1.2944	1.0941	0.0512	-0.0521	-2.0924	0.5509	1.1719	0.6238	-0.5568	2.6843	-0.3048	-0.7152	0.2724	0.2116	-0.7596	-0.3924	1.4648	-0.4532	-1.2197	-0.7765
f0061	-0.6554	-0.7079	0.009	-0.1518	-1.552	1.4222	-0.8091	-0.2884	0.3259	0.6397	-0.5406	-0.1546	-1.074	0.0069	-0.4141	-1.0822	-1.0985	-0.418	-2.3304	0.2328
f0203	0.8686	2.0591	-0.54	-0.3084	-0.9048	0.3282	-0.4678	0.6104	2.6187	0.5027	0.5624	-2.2619	-0.5617	0.8789	0.7828	-0.1601	-0.9136	0.5243	-0.5968	0.0734
f0174	1.3156	-1.4267	1.6367	0.7364	0.2546	-1.0203	-0.4942	-0.8229	-0.8912	0.0706	1.3572	-0.4012	0.1168	-2.2934	2.492	-0.2892	-0.869	-2.3864	0.5363	0.3157
f0678	-0.5195	-0.8856	-0.1842	-0.7762	0.2857	-0.2826	0.2817	-0.509	1.8057	0.8317	-1.5013	-0.5518	-1.247	-1.1607	1.7976	0.7745	0.0957	-1.1259	1.3314	-1.6065
f0378	0.0049	0.3553	0.3163	2.5638	-0.9175	1.8927	-1.3997	0.0789	0.44	-1.2637	-1.4267	-0.3634	1.5376	-0.4415	-0.202	0.9405	-0.9106	2.8292	0.3293	0.8378
f0758	-1.0135	-0.3582	0.3147	1.2159	-0.4811	1.0646	-1.0644	-1.1526	-1.0548	-0.5403	0.9768	0.1593	-0.22	1.2991	-0.4027	0.1964	-0.3453	0.3028	0.5608	0.5251
f0489	-0.6252	1.4961	1.4143	0.8645	-1.0823	0.4999	0.11	-0.1199	-0.055	-0.3696	-1.1955	-0.3501	-0.8139	1.011	-0.1656	0.4666	-0.5789	0.243	0.2524	0.8005
f0705	0.0704	0.4894	1.5505	0.1166	0.7698	-1.3677	-0.135	0.5862	0.5561	-0.3956	-0.8133	-0.8248	-0.0553	0.1244	-0.4906	-0.115	0.7655	0.2997	0.5069	-1.3298
f0974	2.5036	3.3855	2.9045	1.6118	1.3309	3.0977	1.9207	3.424	1.9927	2.54	-0.1052	0.6482	0.572	-0.1424	-0.6766	0.461	-0.8622	0.1554	0.5073	0.8447
f0372	1.3016	0.0482	1.7861	-1.0963	-1.3743	-1.673	-0.5061	-1.3022	-0.8572	0.7436	-3.0086	0.8077	0.9434	0.1654	-1.168	1.3345	-0.8526	0.2778	-1.7749	-1.3
f0761	-0.7059	0.0653	0.3839	0.1631	-0.1347	0.8483	0.8259	-0.9467	-2.497	0.8525	-0.5102	0.1883	0.6337	0.2018	-0.2505	-0.1787	-0.7022	1.0721	-0.1234	-0.1697
f0915	-0.4248	-0.3401	0.3463	0.8573	-0.5062	1.074	1.0444	1.9013	0.5718	0.1165	-0.6258	-0.4792	-0.0515	-0.1357	-0.1832	-1.2632	-0.4142	-0.3101	1.544	-0.5178
f0207	0.9148	-1.714	-0.0667	-0.8884	-0.2034	0.4787	-0.6946	0.6414	-0.2225	-0.7828	0.7977	0.3315	0.5075	0.1591	-0.6017	-0.5479	-0.3666	0.6728	-0.5684	0.7903
f0636	1.0411	1.5345	1.4788	-2.8407	1.6157	0.1969	-1.0791	-0.0742	0.6563	0.8785	0.82	0.5256	0.1828	0.4047	1.7131	1.2647	-1.3316	-1.3019	1.0742	0.1616
f0122	-0.7787	-0.0781	-0.0507	-0.6775	-1.703	-0.3031	0.6915	0.4102	-1.731	-0.0627	-1.7643	2.0511	-0.5467	0.2183	-0.2282	0.4919	-1.0736	-0.3488	-1.7474	1.4042
f0260	-0.2147	-1.9052	0.3443	-0.78	0.0669	0.5687	1.3511	-1.8041	0.331	0.214	0.3173	0.5375	-0.5059	-1.7501	0.6224	-0.2571	-1.1546	-1.4025	-0.3179	0.134
f0376	0.1022	-0.0411	-0.5529	-0.4118	1.607	0.2805	0.9263	-0.3025	0.5815	0.9198	0.9803	-0.2897	0.2941	-1.5074	0.5554	-0.1613	-1.6184	-0.0979	-0.4023	2.0452
f0013	1.4809	-2.252	1.2347	-0.4885	-1.2498	0.1885	1.8587	-0.4301	-1.2041	-0.6287	-0.777	2.3694	0.1876	0.4357	1.3619	-1.4131	0.2872	-0.8873	0.5237	1.1348
