id	pop	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30
c0569	pop08	1.33418	-0.88628	-0.83112	-2.45768	0.5913	-0.59414	0.42194	-0.95694	2.36175	-0.26186	-0.04617	0.50131	-1.03176	-0.71056	1.27998	1.31396	0.66187	1.7371	-0.86567	-0.38037	-0.78111	1.82958	-0.87322	0.38652	-1.04102	0.82331	1.1565	0.19233	0.02439	-1.5724
c3111	pop03	4.48082	0.93191	4.27038	-0.24429	-1.14394	-0.91103	-0.33733	1.00429	-1.14241	-0.36517	-0.4299	0.12638	0.49398	-0.55208	1.23454	0.32056	-1.85892	0.46299	-1.7955	0.33137	-0.46977	-0.6009	-0.64536	1.53846	-0.09185	0.36313	0.7043	-0.61351	-0.13848	0.72946
c3046	pop03	5.58145	0.31352	4.77237	0.38235	1.29612	0.78221	-0.35586	0.16359	-1.07631	-0.34496	0.00301	1.10057	1.48006	-0.27221	-0.30029	-0.68844	0.7739	0.7041	0.04754	1.02636	-1.63534	-0.36603	1.09516	1.39792	0.29481	-0.35933	0.22733	-1.5439	-0.65077	0.14623
c3116	pop03	4.5494	1.41695	3.12165	-0.05086	-0.05804	0.50159	-0.06791	1.04247	-0.15679	-0.53339	-0.60537	-1.60919	1.48675	-0.34893	-0.03951	-1.71503	0.57647	-1.34736	-0.18475	0.17531	-0.97753	-0.73899	1.86136	0.09737	0.09409	1.40533	-0.86029	-0.4074	0.52672	0.38555
c4302	pop05	5.86156	5.47935	1.01984	6.19366	1.18506	0.56083	-2.00074	-2.57127	1.88406	0.34188	0.89993	0.67049	-0.00837	1.68244	-0.42143	-0.29207	0.1599	-0.56298	0.68183	-0.14645	0.86615	0.48861	0.27368	0.95415	0.58191	-1.58288	0.70809	0.1488	0.14294	-0.35155
c3199	pop03	4.55695	0.17553	4.42437	0.61297	-0.68345	0.86288	-0.70506	0.49455	0.95281	-1.1665	-0.9107	-0.91094	1.20991	0.35898	-0.43788	0.34029	-1.16392	-0.24602	-1.05059	0.56202	-0.73495	-0.02302	0.29407	0.33174	-0.29725	-0.89971	-2.32236	-0.74854	1.53505	0.28237
c0048	pop08	-1.25199	0.45783	-2.27772	-0.07915	-1.18557	2.088	-1.87757	1.19419	1.49497	0.728	-0.13546	-0.81406	-1.02452	-1.04667	0.64437	-0.12837	0.99311	0.66377	-0.87561	0.05908	0.89262	0.02029	1.06738	-0.42532	0.62617	0.1605	-0.07791	-3.53827	0.52798	-0.44815
c1162	pop08	-1.58478	-2.69863	0.95851	-0.58537	0.42353	1.51378	0.51911	-0.07874	0.29133	2.20169	-0.76064	-0.5542	-1.55266	-1.06986	0.45055	0.24338	2.52841	0.97922	-0.47935	0.94809	-0.76756	-0.49555	-1.99831	-0.58313	0.17751	-0.46376	0.40991	0.76978	-0.26791	-0.96131
c3326	pop04	-1.21918	5.78691	-1.1145	5.42112	-0.006	-0.78112	-0.13278	-0.65619	-0.40085	-0.03532	-0.10674	-1.7426	-0.22119	-0.64104	-1.2665	-0.62577	-2.48259	-1.16508	0.0459	-1.06417	-0.51425	-0.6468	-0.20456	-0.55416	2.27524	-1.05281	-0.6369	0.21941	0.10962	-1.80111
c2567	pop08	-0.06443	-0.53422	-0.96103	0.13633	-1.01882	-1.00342	-0.22264	1.45944	0.04754	2.08736	0.99768	-0.58194	0.7092	0.30192	0.33934	1.7587	-0.64065	0.80233	0.40261	-0.4998	-0.24555	1.18298	0.44984	-1.72805	-0.21945	-0.2797	1.98056	-0.0436	-0.39271	0.30375
c3462	pop04	-0.4754	5.90728	0.57891	6.54965	0.43009	-1.00644	-0.30833	-0.16106	-0.27819	-0.81434	1.95243	-0.90611	-1.06413	-0.02864	0.01972	0.13634	1.08078	-0.39213	-0.51815	0.37081	-0.18869	-2.16164	-0.64387	0.14264	0.90785	1.13248	-0.18681	0.89062	-0.97518	-1.15967
c2719	pop02	6.53143	5.83501	-0.0567	1.1833	-0.6033	1.26968	-0.45314	0.09402	0.55899	-0.99858	1.88358	-1.27153	-0.02976	0.14641	0.08556	2.03079	0.826	-0.11728	0.90266	0.21242	-1.01578	-2.24821	0.94817	-0.66309	-0.29944	-1.69681	0.69819	-1.0306	0.68019	0.04977
c1411	pop08	0.80112	-0.51696	0.97747	-0.12898	-1.36473	-1.15939	0.5627	-0.27345	0.08908	-0.51315	-0.03624	-0.51174	-0.57721	-1.45208	0.05657	0.62879	0.73067	0.0518	-0.31766	-0.93722	0.05106	0.48633	-0.29836	-1.69843	1.9942	-0.54442	-0.02282	-2.03504	0.09796	0.68858
c4606	pop05	5.45963	6.09802	-0.15356	4.52989	1.3995	0.21572	-0.42463	0.40264	-0.75237	-0.70127	1.00423	-0.85251	-0.02922	0.73874	1.76783	-0.73439	-1.37647	0.2408	-0.7279	-0.7469	0.49696	0.06027	-0.3835	-1.51276	-0.57037	-0.98673	-1.1409	-0.10177	0.38449	0.56103
