id	pop	Mrk1	Mrk2	Mrk3	Mrk4	Mrk5	Mrk6	Mrk7	Mrk8	Mrk9	Mrk10	Mrk11	Mrk12	Mrk13	Mrk14	Mrk15	Mrk16	Mrk17	Mrk18	Mrk19	Mrk20	Mrk21	Mrk22	Mrk23	Mrk24	Mrk25	Mrk26	Mrk27	Mrk28	Mrk29	Mrk30
c3111	pop03	4.48082	0.93191	4.27038	-0.24429	-1.14394	-0.91103	-1.33089	0.12188	0.03013	0.47119	-0.20892	0.44216	0.0108	-0.26294	1.87952	1.50422	-1.02066	0.75392	0.03658	-0.14765	1.23848	1.66691	-0.34387	-1.18167	1.62456	0.19603	0.74549	1.39017	-2.26683	0.30425
c3046	pop03	5.58145	0.31352	4.77237	0.38235	1.29612	0.78221	-1.73582	-1.11496	0.44134	-1.08329	0.19622	-1.85224	0.48816	1.53102	-0.33475	-0.44792	0.74906	-0.09131	2.02202	-0.48542	-0.81276	-0.97852	-1.49352	0.17328	0.39374	1.2972	-0.02428	-1.10913	-0.67429	0.50437
c4302	pop05	5.86156	5.47935	1.01984	6.19366	1.18506	0.56083	1.80771	-0.86197	0.74278	-0.70478	-0.89669	0.94409	0.57231	-1.26007	-0.53959	1.05511	-0.86558	-0.51766	-0.16229	-0.49414	-0.09101	1.48481	-0.04286	0.08885	-0.70336	-0.82892	-0.15345	-1.20337	-0.96867	0.09556
c3199	pop03	4.55695	0.17553	4.42437	0.61297	-0.68345	0.86288	0.48625	0.82602	-1.05236	-1.93949	0.40519	-1.58988	0.66501	0.71595	0.17737	0.21973	1.64687	-0.96774	-0.1315	-0.42513	0.24019	0.43515	0.6517	1.69445	-1.31978	0.77221	-0.50862	0.90065	-1.28474	0.78179
c2615	pop02	5.26721	4.61529	0.58516	1.18176	1.312	-0.04499	0.54465	-1.67323	-1.44814	0.99477	-0.6312	0.31132	0.65245	1.13822	-0.97343	0.44695	0.64277	0.5183	-1.1015	-1.47902	0.69053	1.06506	0.7653	-0.00881	0.50386	0.24359	0.31204	0.81508	1.29751	0.0831
c4924	pop01	-1.22741	-0.09075	-0.07564	0.76317	5.18687	0.01636	2.21584	-0.64511	1.13171	-0.90908	-0.15596	-0.83735	0.60916	-0.46763	0.71655	-0.0553	0.80827	-0.19685	1.28235	0.17087	0.81845	0.4769	1.69551	0.32387	1.34644	-0.04556	0.87932	0.9224	-0.87984	0.4149
c2745	pop02	4.19943	4.47421	-0.03412	0.66926	0.62718	0.93673	-1.13676	-0.06846	-0.30818	-1.84814	0.09725	-0.4732	0.99419	0.58883	-0.15618	-0.23356	1.38159	0.61258	0.43499	-1.78588	0.56457	1.61881	1.15884	-0.21853	-0.31795	1.36785	0.75944	-0.2961	-0.81914	0.2694
c3083	pop03	4.82082	-0.40661	3.88736	-0.4676	1.61793	0.70773	-1.23165	0.26001	-1.68708	-0.59224	0.22447	-0.32829	-0.9074	-1.327	1.75285	-2.13785	0.28289	-0.57281	0.34498	-0.14004	1.14809	1.33761	1.20925	-1.29081	-0.88558	-0.60556	-0.00118	0.33024	-0.02243	-0.32832
c4558	pop05	4.16031	5.41785	1.86224	3.02851	-2.1786	-0.3079	2.04813	0.50025	0.73548	0.31539	3.82551	0.83058	-1.7304	-0.20333	0.76946	-1.27547	0.09803	1.41214	-0.15479	-0.68597	-0.63713	1.32238	0.67919	-0.77036	0.06048	0.02091	-0.18668	0.67207	0.05728	0.8642
c4646	pop05	4.4456	3.154	-0.05164	6.02612	-0.56386	0.80427	0.05208	-0.87621	-0.85159	0.49479	0.50107	-0.75913	-0.1119	-0.05543	0.37101	-0.42084	1.21453	0.30331	-1.70343	-1.00472	-0.88321	-0.11251	-0.44847	0.60413	-0.80117	-0.66566	-0.43737	-0.73549	0.12018	-0.961
