id	pop	Mrk1	Mrk2	Mrk3	Mrk4	Mrk5
c0569	pop08	1.33418	-0.88628	-0.83112	-2.45768	0.5913
c3111	pop03	4.48082	0.93191	4.27038	-0.24429	-1.14394
c3046	pop03	5.58145	0.31352	4.77237	0.38235	1.29612
c3116	pop03	4.5494	1.41695	3.12165	-0.05086	-0.05804
c4302	pop05	5.86156	5.47935	1.01984	6.19366	1.18506
c3199	pop03	4.55695	0.17553	4.42437	0.61297	-0.68345
c0048	pop08	-1.25199	0.45783	-2.27772	-0.07915	-1.18557
c1162	pop08	-1.58478	-2.69863	0.95851	-0.58537	0.42353
c3326	pop04	-1.21918	5.78691	-1.1145	5.42112	-0.006
c2567	pop08	-0.06443	-0.53422	-0.96103	0.13633	-1.01882
c3462	pop04	-0.4754	5.90728	0.57891	6.54965	0.43009
c2719	pop02	6.53143	5.83501	-0.0567	1.1833	-0.6033
c1411	pop08	0.80112	-0.51696	0.97747	-0.12898	-1.36473
c4606	pop05	5.45963	6.09802	-0.15356	4.52989	1.3995
c1458	pop08	-0.26204	-0.81329	-0.15504	1.63227	0.35348
c4174	pop04	-1.30271	4.93948	-0.14659	5.98448	-0.00366
c1427	pop08	-0.06805	-0.02857	0.29822	-0.44662	-2.6762
c1330	pop08	1.24507	0.78143	1.16435	0.38397	0.01422
c0931	pop08	-0.1927	-1.00092	-0.24668	-0.01678	1.27701
c1157	pop08	1.03672	-0.87187	0.15405	1.42088	0.41139
c1577	pop08	0.42655	-0.77473	-1.34848	0.14895	-0.51668
c1508	pop08	-1.26115	0.87932	1.28483	-1.56276	0.55802
c0792	pop08	-0.26101	0.27773	0.33241	0.82702	0.83783
c0200	pop08	-2.07824	0.6308	2.63683	0.03042	-0.37286
c1089	pop08	-1.17937	-1.51339	-2.54437	0.39287	-0.43174
c4033	pop04	-1.02545	4.12092	0.40049	6.96595	-0.2737
c2615	pop02	5.26721	4.61529	0.58516	1.18176	1.312
c4549	pop05	5.56609	6.21437	-2.20249	4.59681	0.02372
c4134	pop04	-1.85565	4.55619	-0.328	4.35487	1.06989
c0228	pop08	0.67742	-1.71827	-1.28901	-0.61942	-0.07623
c2267	pop08	0.4194	0.56417	0.89725	0.89678	-1.3951
c1318	pop08	-0.41121	-0.88084	0.50391	0.60532	0.52944
c1514	pop08	0.76887	1.91138	0.48131	-0.00476	0.10284
c2520	pop08	0.18559	-0.37122	-1.59625	0.03651	0.96871
c0900	pop08	0.75722	0.58696	-1.90491	0.72495	0.28844
c3772	pop04	0.74844	5.46777	-0.66237	3.85894	0.4847
c0999	pop08	0.76085	-0.37124	1.45335	-0.86132	0.68331
c1285	pop08	1.0337	-1.0725	1.06776	0.32888	0.66201
c4924	pop01	-1.22741	-0.09075	-0.07564	0.76317	5.18687
c4006	pop04	0.97055	4.43352	0.02696	5.52485	-1.50354
c2745	pop02	4.19943	4.47421	-0.03412	0.66926	0.62718
c3206	pop04	-1.40017	5.81048	-0.52007	5.07094	-0.51624
c1547	pop08	-1.00066	1.21638	0.31614	0.54931	1.50319
c3083	pop03	4.82082	-0.40661	3.88736	-0.4676	1.61793
c1635	pop08	-1.67255	-0.34768	0.181	1.61276	-0.86065
c2488	pop08	-0.75824	0.4407	-0.42247	0.95585	0.14479
c3355	pop04	-0.10287	4.50061	0.5903	5.48845	0.29848
c2403	pop08	-0.17931	0.62457	-0.00013	-0.4686	-2.07751
c1208	pop08	0.3991	0.54683	0.8588	-0.38685	-0.35473
c3790	pop04	0.90397	5.89007	-0.1652	4.13106	1.21991
c0366	pop08	1.43457	0.41101	-0.1626	0.57799	-1.45019
c1533	pop08	-0.2077	-0.71395	-1.21239	0.61369	-1.64063
c3550	pop04	-1.11767	4.51731	-0.62351	4.5862	-0.1233
c2496	pop08	-1.62266	1.03281	-0.07589	1.26223	1.6654
c0757	pop08	-1.09152	-0.49804	2.11375	1.73871	0.42788
c2492	pop08	0.84515	1.5141	1.61707	0.18999	-2.1745
c2443	pop08	-1.13348	-0.30658	-0.18365	0.28351	0.84287
c3714	pop04	0.18376	5.53322	0.48163	4.40426	1.43643
c0864	pop08	-0.95725	-0.07768	0.34269	-0.71907	0.22508
c4192	pop04	0.0181	5.10892	-1.1597	3.3773	3.33741
c4273	pop05	6.21173	4.10646	1.56652	4.05198	1.28229
c0207	pop08	1.84246	0.63797	0.27528	-1.06758	2.14417
c1567	pop08	0.98679	0.45598	-0.18304	-0.24201	0.45161
c0068	pop08	1.36783	-0.3728	-0.56978	-0.9668	1.06882
c1180	pop08	-0.82108	-0.17198	-0.45459	0.79931	-0.8338
c3487	pop04	0.49403	4.7875	-1.23193	6.23772	-0.09444
c1521	pop08	-0.22265	0.01875	0.30665	0.01315	-0.2762
c2509	pop08	0.2256	1.11489	0.33629	-0.89845	-0.80459
c0255	pop08	-1.13637	1.12266	0.36504	-0.58182	0.90092
c2784	pop02	4.98116	4.9358	-0.0105	-0.15547	0.97062
c0599	pop08	-0.84927	0.61437	-2.11859	0.19119	1.75264
c4401	pop05	6.24382	5.45994	0.19642	6.12475	-0.70796
c0073	pop08	-0.36652	0.97133	0.56273	-0.34406	2.44954
c3859	pop04	-0.69398	5.30588	-0.41762	4.20438	0.3933
c0444	pop08	-0.94479	0.5467	0.5478	-0.37937	1.12857
c2558	pop08	-1.81616	-1.63374	2.48019	-0.77395	0.40271
c1893	pop08	-2.48342	-1.27266	-0.277	-0.87167	0.64677
c0345	pop08	0.10052	-0.79927	-0.68314	0.33146	1.2568
c1579	pop08	-1.1166	0.58421	-0.94239	0.64387	0.19301
c3290	pop04	0.75367	4.82826	0.23388	4.66147	-1.84982
c4558	pop05	4.16031	5.41785	1.86224	3.02851	-2.1786
c2322	pop08	0.20815	0.6812	0.23333	-0.30095	-0.99339
c0702	pop08	1.42542	0.45923	0.34508	0.95986	0.57604
c2677	pop02	4.90924	4.78028	-0.00205	-1.21251	-0.22277
c0965	pop08	0.94571	-0.62775	-0.80119	0.38965	-1.3554
c4417	pop05	4.1984	5.19295	0.75016	4.80756	-0.35909
c1915	pop08	0.12683	2.08315	-1.03227	0.02346	-0.21613
c1528	pop08	-0.92627	0.78407	1.49063	0.4257	-0.28216
c0787	pop08	0.63557	1.72545	0.09265	-1.46816	-0.23677
c4402	pop05	5.1161	5.83508	0.81516	5.25839	0.42159
c0817	pop08	0.00662	0.96455	-0.07903	0.11879	2.81045
c4421	pop05	4.53776	4.76698	-0.89839	4.85609	-0.28206
c0659	pop08	-0.10362	-0.60452	-1.2448	-1.66143	-1.36847
c0646	pop08	-1.14801	1.9772	-0.15803	-1.6071	-1.77944
c0517	pop08	-2.7042	-0.66279	1.08396	0.76485	-0.55054
c2510	pop08	0.93572	-0.42563	1.62101	0.22651	-0.06546
c1473	pop08	0.59823	-0.15932	-1.23631	0.16051	1.88704
c0131	pop08	1.01369	-0.60991	1.33717	-0.20043	0.29461
c1518	pop08	0.93503	0.24684	0.32652	0.24651	0.12218
c3638	pop04	0.66302	6.07098	0.84953	4.83755	-0.21568
c0174	pop08	-1.82224	1e-05	-0.29767	-0.43524	-1.26371
c2769	pop02	4.54733	3.87975	-1.0801	0.19047	0.53807
c1373	pop08	0.42247	-1.75263	2.39196	0.18733	-0.1637
c1000	pop08	-0.44566	-0.22825	-1.98952	-0.65318	-0.08841
c0655	pop08	-0.20534	0.87514	-2.04423	0.28612	1.16862
c1595	pop08	0.5834	-0.64336	1.08858	1.71409	-1.11201
c0759	pop08	-0.12271	0.42053	0.82072	0.31398	-1.93719
c0636	pop08	-1.46469	0.02601	1.67385	-0.89632	-0.72291
c2131	pop08	1.67038	-0.62587	-0.32788	2.11149	1.38883
c0190	pop08	-0.19842	-0.35476	2.0854	-1.03583	-0.39642
c3489	pop04	0.29863	4.62555	-1.55842	5.05083	0.02965
c0493	pop08	2.23939	1.02893	-1.68107	-1.02619	0.54678
c4646	pop05	4.4456	3.154	-0.05164	6.02612	-0.56386
c0596	pop08	-0.50429	0.90564	1.49598	-1.7038	0.57645
c1074	pop08	-0.84214	-0.81338	-1.08857	-1.35167	0.21005
c4461	pop05	5.10188	4.73975	0.86425	5.27309	0.29235
c4620	pop05	3.46835	6.81292	0.01527	6.42786	-0.47851
c1364	pop08	0.72375	2.40337	0.49581	1.62317	-0.73791
c0603	pop08	-1.69108	-0.68013	-0.50202	1.10586	1.12522
c3891	pop04	1.15583	4.79159	0.44873	4.01885	0.86321
c3633	pop04	1.93141	5.63702	-1.03889	5.0739	1.32088
c4470	pop05	5.65619	4.96657	2.40787	5.67325	-0.7219
c4852	pop06	-0.53414	4.98711	5.57892	0.24307	0.57575
