cluster_id	PPD00_BB078	PPD00_BB231	PPD00_BC641	PPD00_BD619	PPD00_BD620	PBD08_BB078	PBD08_BB231	PBD08_BC641	PBD08_BD619	PBD08_BD620	PBD28_BB078	PBD28_BB231	PBD28_BC641	PBD28_BD619	PBD28_BD620					
day	D00	D00	D00	D00	D00	D08	D08	D08	D08	D08	D28	D28	D28	D28	D28					
indiv	BB078	BB231	BC641	BD619	BD620	BB078	BB231	BC641	BD619	BD620	BB078	BB231	BC641	BD619	BD620					
total	6805	11369	3750	13946	24523	15425	16138	18877	16927	28799	6323	9798	4750	16045	37983					
1	4.658	0.633	3.493	0.595	2.088	0.739	0.558	0.371	0.372	0.323	2.151	0.245	0.968	0.430	1.195					
2	1.440	2.929	1.387	4.216	1.374	4.110	4.319	3.242	3.226	2.701	1.961	3.256	0.968	3.303	0.211					
3	2.101	0.625	1.653	0.480	1.480	0.765	0.799	1.001	1.075	1.104	2.325	1.031	1.958	1.041	2.604					
4	0.338	1.038	0.133	1.958	0.648	0.843	0.905	1.033	1.057	0.944	0.807	1.347	0.632	1.782	0.171					
5	1.117	0.519	1.227	0.316	0.237	0.668	0.626	0.376	0.331	0.215	0.490	0.949	1.600	0.536	0.100					
6	0.632	5.321	0.400	6.547	0.995	3.572	4.840	2.808	3.291	2.427	0.364	2.899	0.232	2.019	0.124					
7	0.309	0.053	0.133	0.065	0.041	0.311	0.136	0.328	0.260	0.174	0.696	0.449	0.716	0.343	0.082					
8	2.087	1.020	1.227	0.595	0.995	0.921	0.651	0.789	0.809	0.906	1.249	0.755	0.568	0.598	1.148					
9	0.970	5.638	0.880	3.463	0.844	3.183	3.848	2.262	2.133	1.754	0.395	3.062	0.611	1.259	0.208					
10	2.366	0.915	2.240	1.262	0.665	1.744	1.276	0.906	0.910	0.667	1.977	0.378	1.495	0.779	0.374					
11	0.573	0.158	0.560	0.316	0.147	0.622	0.490	0.366	0.313	0.257	0.395	0.235	0.463	0.187	0.118					
12	0.206	0.035	0.160	0.237	0.122	0.298	0.192	0.424	0.378	0.240	0.253	0.041	0.863	1.552	0.245					
13	2.263	1.416	2.720	0.380	0.881	2.561	2.906	2.103	1.843	1.722	3.242	2.225	4.084	0.679	2.706					
14	3.248	0.545	4.640	0.638	2.850	0.545	0.539	0.747	0.644	0.681	1.819	0.521	2.568	0.654	2.554					
15	2.072	1.566	1.413	2.051	1.264	2.100	2.156	1.414	1.371	1.212	1.344	1.204	0.842	1.028	0.271					
16	0.808	0.378	0.907	1.119	2.251	0.415	0.297	1.044	1.004	1.170	0.822	0.398	1.453	2.699	3.088					
17	2.072	0.176	3.547	0.323	1.236	0.318	0.235	0.249	0.242	0.260	0.838	0.112	1.389	0.193	0.453					
18	0.588	1.108	0.853	1.154	0.799	1.802	1.809	1.536	1.276	1.007	2.119	3.868	2.274	2.593	0.806					
19	0.353	1.029	0.347	1.097	3.784	1.420	1.060	3.279	3.810	5.427	0.664	1.388	0.421	1.458	2.541					
20	2.292	0.836	1.333	0.617	0.294	1.828	1.431	1.240	1.063	0.837	5.630	1.021	2.611	1.720	1.522					
21	0.367	0.686	0.027	2.961	2.088	1.582	1.692	3.104	3.545	4.063	0.443	2.286	0.126	3.285	0.324					
22	1.308	0.361	2.080	0.043	0.196	0.486	0.539	0.509	0.337	0.309	2.530	0.541	2.042	0.175	0.827					
23	0.955	2.120	2.187	2.682	0.530	1.815	1.710	1.346	1.329	0.976	1.534	1.347	1.537	1.845	0.058					
24	0.558	0.537	0.933	0.660	0.302	0.882	0.917	0.646	0.555	0.444	1.123	0.551	0.589	0.698	0.361					
25	1.087	0.686	1.280	0.093	0.469	1.413	1.741	1.277	1.182	1.174	1.281	0.980	1.179	0.287	1.411					
26	0.823	6.650	1.627	7.328	1.448	5.472	6.457	4.000	3.527	3.024	1.455	6.011	0.653	4.450	0.642					
27	0.485	1.099	0.427	1.879	9.697	0.817	0.669	2.410	3.048	3.778	0.221	0.898	0.211	0.767	1.174					
