Pop id	Pop	Panel	Organ	25346	25347	25348	20497	20498	20499	25350	25351	25352	20485	20486	20487	24778	24779	24780	19426	19427	19428	24783	24784	24785	19432	19433	19434
			Mutation	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	MUT	MUT	MUT	MUT	MUT	MUT	MUT	MUT	MUT	MUT	MUT	MUT
			GENOTYPE	GA	GA	GA	GB	GB	GB	GA	GA	GA	GB	GB	GB	GA	GA	GA	GB	GB	GB	GA	GA	GA	GB	GB	GB
			SEX	M	M	M	M	M	M	F	F	F	F	F	F	M	M	M	M	M	M	F	F	F	F	F	F
			Comment	 	 	this	could	be	empty	or	not	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Cellularity_Spleen	Cellularity		Spleen	140.04	188.128	110.44	134.648	163.944	119.296	92.736	169.536	120.04	174.832	141.856	166.088	362.784	119.44	194.424	125.264	172.304	209.24	153.224	308.1	89.944	110.008	114.36	103.696
NK Cells_A_Spleen	NK Cells	A	Spleen	2.73	2.92	3.03	2.3	2.1	2.18	2.92	2.92	2.66	2.6	2.8	2.9	2.5	2.1	2.5	1.5	1.7	1.5	1.9	1.5	1.6	1.9	1.9	1.7
NK Stage I_A_Spleen	NK Stage I	A	Spleen	2.00	2.20	2.10	4.0	3.8	4.20	3.50	3.20	3.10	3.8	4.3	2.2	4.9	4.6	3.0	3.4	4.5	4.5	4.4	3.8	3.5	4.1	4.1	4.8
NK Stage II_A_Spleen	NK Stage II	A	Spleen	54.50	55.10	62.50	56.7	59.6	56.20	58.20	57.50	51.60	58.4	66.4	58.6	62.3	55.5	58.6	65.3	55.7	61.6	62.3	47.0	50.4	53.0	53.5	54.4
NK Stage III_A_Spleen	NK Stage III	A	Spleen	28.10	28.50	22.60	16.8	15.8	19.70	23.50	24.20	23.30	12.7	10.1	16.0	14.2	15.7	19.9	13.9	15.7	14.6	13.5	23.9	20.4	13.4	14.8	13.3
NK Stage IV_A_Spleen	NK Stage IV	A	Spleen	13.60	12.60	11.30	20.8	19.3	18.20	12.60	13.00	18.80	22.6	16.9	20.8	16.0	21.3	16.2	15.1	21.1	16.6	16.3	23.6	23.7	26.9	24.1	25.3
NK EM_A_Spleen	NK EM	A	Spleen	13.40	17.30	15.30	26.0	44.6	19.00	18.30	17.30	24.30	25.9	21.9	15.3	9.3	11.4	13.1	17.5	13.7	17.1	10.0	19.5	16.5	13.7	16.5	16.9
NK CM_A_Spleen	NK CM	A	Spleen	85.40	82.00	84.10	72.9	54.0	80.00	80.70	81.60	74.20	72.2	77.2	82.7	86.8	84.3	85.1	81.6	84.7	81.8	89.1	77.7	81.6	83.7	80.5	79.9
L-T_A_Spleen	L-T	A	Spleen	30.65	27.77	30.54	21.7	19.3	21.24	28.49	26.65	27.04	27.5	29.3	27.4	29.9	28.7	26.9	24.9	28.8	21.8	30.3	28.0	26.6	23.3	27.0	27.0
ab-T_A_Spleen	ab-T	A	Spleen	27.04	25.04	28.10	19.9	17.8	19.38	25.48	23.51	23.75	24.5	26.3	24.6	27.6	26.3	24.2	22.8	24.9	20.0	26.8	25.4	24.2	21.6	24.8	24.6
CD4+ SP_A_Spleen	CD4+ SP	A	Spleen	17.17	15.87	18.33	12.0	11.3	11.96	15.73	14.65	14.77	14.3	15.8	14.6	18.0	18.2	16.8	12.3	14.6	11.3	16.9	14.7	15.4	12.6	14.4	14.0
Conventional CD4+_A_Spleen	Conventional CD4+	A	Spleen	17.03	15.77	18.28	12.0	11.2	11.90	15.71	14.62	14.76	14.3	15.8	14.4	18.0	18.2	16.7	12.3	14.6	11.3	16.9	14.7	15.4	12.6	14.4	14.0
EM/CM CD4_A_Spleen	EM/CM CD4	A	Spleen	15.10	16.90	14.80	29.9	38.3	28.00	15.80	15.10	18.30	32.4	29.2	38.8	3.3	4.8	3.6	8.8	11.7	11.7	4.0	5.4	4.8	7.9	7.5	7.8
Naive CD4_A_Spleen	Naive CD4	A	Spleen	81.70	79.30	81.50	65.7	57.4	68.90	81.40	82.50	77.70	66.1	68.8	58.0	92.7	92.9	92.6	87.3	85.4	84.4	94.1	91.1	91.6	89.5	87.5	89.9
Early CD4_A_Spleen	Early CD4	A	Spleen	8.36	7.67	7.42	5.1	4.9	6.61	7.51	7.67	6.21	6.4	6.6	6.3	5.1	9.2	9.3	7.0	6.3	7.0	9.6	8.9	11.9	11.0	9.3	9.4
Late CD4_A_Spleen	Late CD4	A	Spleen	72.51	70.96	73.90	60.3	52.2	61.85	73.65	74.54	71.14	59.5	62.0	50.8	87.5	83.6	83.2	80.1	79.1	77.3	84.3	82.1	79.5	78.2	78.0	80.3
Ly6C+ CD4_A_Spleen	Ly6C+ CD4	A	Spleen	36.80	30.60	29.30	22.1	25.8	23.60	36.90	33.80	35.00	21.2	23.0	16.1	33.6	31.8	30.1	38.1	38.2	38.0	31.2	35.0	29.9	27.1	27.5	26.0
Treg_A_Spleen	Treg	A	Spleen	0.80	0.60	0.30	0.4	0.3	0.50	0.10	0.20	0.10	0.1	0.1	1.5	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0
EM TReg_A_Spleen	EM TReg	A	Spleen	30.70	32.50	30.20	51.3	68.6	47.70	30.00	31.80	37.10	54.5	46.3	69.8	34.5	34.5	28.0	47.6	71.1	39.1	22.2	40.9	35.9	38.5	26.1	12.5
CM TReg_A_Spleen	CM TReg	A	Spleen	68.80	66.10	68.90	46.0	29.4	51.60	70.00	68.20	62.90	45.5	53.7	30.0	62.1	65.5	70.7	52.4	28.9	56.5	77.8	59.1	64.1	56.4	73.9	87.5
Early Treg_A_Spleen	Early Treg	A	Spleen	16.90	17.80	19.10	15.1	21.1	15.40	19.00	20.50	25.00	16.0	45.5	25.2	16.7	19.4	22.6	36.4	27.3	23.1	35.7	26.9	39.0	40.9	35.3	57.1
Late Treg_A_Spleen	Late Treg	A	Spleen	81.50	80.50	79.00	84.9	77.2	83.20	79.40	75.00	65.90	80.0	50.0	73.4	83.3	80.6	75.5	36.4	63.6	69.2	60.7	65.4	58.5	50.0	50.0	35.7
Ly6C+ Treg_A_Spleen	Ly6C+ Treg	A	Spleen	12.70	11.50	8.50	2.7	7.2	6.90	21.10	16.30	17.10	7.3	14.6	13.5	31.0	18.2	17.3	9.5	5.3	13.0	19.4	13.6	25.0	17.9	34.8	25.0
CD8 SP_A_Spleen	CD8 SP	A	Spleen	9.17	8.44	9.01	7.3	5.9	6.79	8.94	8.09	8.20	9.2	9.5	8.9	8.7	6.9	6.3	9.7	9.4	8.0	8.1	8.9	7.2	7.5	8.7	8.9
EM CD8_A_Spleen	EM CD8	A	Spleen	3.50	5.30	3.90	7.3	11.9	6.60	4.00	3.90	7.20	6.0	4.0	5.3	1.8	2.2	3.4	5.0	4.4	4.4	0.7	2.6	4.2	1.7	2.3	1.4
CM CD8_A_Spleen	CM CD8	A	Spleen	26.13	24.50	21.81	24.4	26.8	30.8	22.6	24.5	18.9	26.3	24.1	28.7	18.5	22.3	23.1	27.4	26.6	29.0	21.5	29.3	24.4	32.7	32.3	26.1
Naive CD8_A_Spleen	Naive CD8	A	Spleen	68.98	68.00	72.78	65.0	56.7	60.52	72.11	69.93	71.01	67.1	70.9	64.4	74.7	71.6	70.3	64.6	65.3	63.0	74.4	60.0	64.6	63.7	62.9	70.3
Ly6C+ CD8_A_Spleen	Ly6C+ CD8	A	Spleen	42.30	40.90	33.90	34.3	43.9	38.60	28.40	30.40	31.40	30.6	26.1	29.9	51.1	40.9	44.6	46.2	53.3	48.9	26.9	44.3	34.9	28.7	32.0	26.3
Late CD8_A_Spleen	Late CD8	A	Spleen	61.19	61.33	65.51	60.0	51.8	54.05	64.83	63.08	64.91	59.9	63.2	56.3	69.4	63.3	61.6	58.3	58.6	56.5	65.4	53.1	55.9	54.6	55.5	61.7
Early CD8_A_Spleen	Early CD8	A	Spleen	7.66	6.53	7.13	4.9	4.8	6.42	7.21	6.78	5.97	7.1	7.6	8.0	5.3	8.3	8.6	6.3	6.7	6.4	9.0	6.8	8.6	9.1	7.3	8.7
gd-T_A_Spleen	gd-T	A	Spleen	0.32	0.26	0.30	0.3	0.3	0.28	0.29	0.28	0.26	0.4	0.4	0.6	0.2	0.2	0.2	0.3	0.3	0.2	0.3	0.4	0.3	0.3	0.3	0.3
EM gd-T_A_Spleen	EM gd-T	A	Spleen	12.10	20.80	19.80	18.4	18.2	13.00	23.70	20.60	30.50	11.0	12.9	9.5	12.4	14.8	15.3	9.3	7.6	10.3	16.0	14.4	16.0	7.9	8.9	9.1
